date,AAPL,AMD,AMZN,AVGO,GOOGL,HYG,META,MSFT,MTUM,NVDA,QUAL,SMH,SPY,TLT,TSLA,USMV,UUP,VTV
2026-06-04,0.00312645238815068,-0.035611602574429746,0.01507874949703436,-0.12586861258932958,0.03676993669997208,0.001882493307910682,0.007367820180195883,0.001661400069229213,-0.011016731260166224,0.01939395646671027,0.007883879492825319,-0.016256458254117145,0.0037786857621391334,0.0022271571864720396,-0.012390842220308285,0.004155408873071975,-0.0007178915048637879,0.00768872925259112
2026-06-05,-0.012498826008526143,-0.10860092889626116,-0.03057644001781823,-0.07920554255801027,-0.009833744266495192,-0.00501058216405037,-0.055085447812264654,-0.02658566754383418,-0.05953297499682175,-0.062014073591381225,-0.01927942373930669,-0.09217093072068028,-0.025809371248925683,-0.005146246614174843,-0.06559926253138726,-0.01055246270580612,0.0064655281677161724,-0.01358518327113234
2026-06-08,-0.018871545388655542,0.05135293417107589,-0.0032922715222234444,0.02818030769211255,-0.013575540397461894,0.0013848465573635949,-0.012833073513225268,-0.011831927529251218,0.028094092446003582,0.017259839984335112,0.0032372822692976477,0.04997449592079373,0.002264172608771542,-0.005172776731306006,0.04590795960877547,-0.004286855627287256,0.00035689609987366033,0.0025468734280931216
2026-06-09,-0.036446341189923515,-0.03022449618111711,-0.004200304926880172,-0.011195157427758784,0.002614880105099582,0.0010057505956613255,-0.0013666036710554552,-0.02023117288064602,-0.010949519094414106,-0.0021568105327770537,0.0013561733193934167,-0.011953262839234813,-0.0029354505508077944,0.005908802779969191,-0.03000371479396924,0.003675238794885516,-0.0007135375409819122,0.005316198878485778
2026-06-10,0.0035450055495178656,-0.04860048241788084,-0.025349123139844942,-0.051152561034133015,-0.021632900626697316,-0.0018839119618148104,-0.023281298234914316,-0.014997232475331246,-0.021531980232196934,-0.03732169739825886,-0.008359749952811302,-0.03400963822772607,-0.015765562508027298,-0.0028195832145171407,-0.038040729596927614,-0.003766435215360575,0.0014280259854289046,-0.01006137848462918
2026-06-11,0.01388983748609407,0.07968616002854234,0.01474787607914263,0.036199904942669114,0.003900222778065343,0.00591420864972636,-0.004466057810845303,-0.017666513340103496,0.04620888219857089,0.022203357892913722,0.016813438483406218,0.06750633352965307,0.016996847886747934,0.012959547140083405,0.046017971453959916,0.004410814154407028,-0.0035650080870224254,0.01673449940353544
2026-06-12,-0.015221633631081977,0.04733339039694395,-0.012256186172015071,-0.009077408639480367,0.00533865329404315,0.0,-0.0025509071761044,0.001024702842441938,0.016895963371776235,0.0015620019126554308,0.004678122262867568,0.01724507269688047,0.005408247901529384,-0.0024425591082518627,0.018238754580025995,0.004286935649232548,0.0,0.00934536395986596
2026-06-15,0.018170538868479413,0.06976562724637403,0.031314194613874635,0.03106756085075002,0.026885093191168385,0.0012509459837009018,0.04770904398522635,0.02308448313772371,0.029588796904336467,0.03538181402824003,0.012358883298848156,0.043776941498460564,0.01763396989375332,-0.0005829128256479299,0.011613319158924273,0.006161841648988142,0.0007155116232253622,0.005297373231260005
2026-06-16,0.009513514092780229,-0.07303658317336414,-8.13115686266741e-05,-0.04373766510027599,0.01055908072426437,-0.00012500603502429986,0.011339963815781395,-0.014833966272172594,-0.02271983028776514,-0.023723197733726886,-0.006569354294955865,-0.048060542048045996,-0.005961562844234103,0.00548300859771178,-0.015784969793794956,-0.004463283082066449,-0.0014300682574422963,-0.0009623119544706071
2026-06-17,-0.010994537435617069,0.010230778916215488,-0.03455284552845528,0.042977389720514125,-0.02534492914880393,-0.003748521052748255,-0.05436431197128366,-0.03788437231212749,0.006808775659616906,-0.013307023368657411,-0.015200209598140169,0.012938264128449672,-0.012487870885051433,0.001624345627797119,-0.02046161890071707,-0.013241624689486642,0.0089509487027708,-0.008897862989535987
2026-06-18,0.006960644246616354,0.04856777941973722,0.029010523745888195,0.04695857067139819,0.011654985044087018,0.0035117383167801997,0.016984307627157635,0.0012931709583141604,0.03122429811752636,0.029513846689763534,0.006714863426898532,0.05755090127049223,0.010396992441959574,0.004865044824139186,0.010368800900483421,-0.004226558838319905,0.00425830129826954,0.0018973644884867635
2026-06-22,-0.003355513813629196,0.026536669138951918,-0.047465142323687703,-0.04521550224560922,-0.049860021606623395,-0.0008747896991238013,-0.02316273829005122,-0.031786989559602685,0.019792072623400214,-0.00968251232276296,-0.00027790800298010954,0.013684258039190489,-0.003146979693962715,-0.007608095028768802,0.011386046267785943,0.0004244579417878036,0.002120189926098748,0.009930719190430759
2026-06-23,-0.009124398732296202,-0.05761113249020289,0.005670378290686617,-0.030551120386485997,-0.01015216723427581,-0.0008756525010975569,-0.002926245367292357,0.017966969581451497,-0.044783011993544286,-0.04126528091164561,-0.013065872678934443,-0.0700542483038109,-0.014521954010491611,0.0012776772165283834,-0.05786940661108486,0.0028638552816806495,0.0031734890920644965,-0.005579724089719962
2026-06-24,-0.004145480706800209,-0.00021157133159144248,0.0006834550497296643,0.005050673309381137,-0.0024267951640898344,-0.0002504472514747169,-0.00805768267256246,-0.022677392646850314,-0.004093904850606789,-0.00519892681982459,0.0008450680212779282,-0.005031757807628545,-0.0004635170636431152,0.013689121073942268,-0.0159324619523894,0.003278662597441251,0.0028119480337682745,0.0007359181515147473
2026-06-25,-0.06117774105404383,0.024685452978244093,-0.03098992458796157,-0.008270745155423476,-0.004575935941672493,0.00037571649445844457,-0.026538971518130117,-0.0345592514347155,0.033159721109055296,-0.016381881943899224,0.00028142763688099315,0.02901832622725853,0.0014456352254532678,-0.0003433211494219268,-0.00109180002514353,0.0003162426639664595,-0.0017525812550219788,0.01332783556533923
2026-06-26,0.03136469225316163,-0.020635766346647655,0.025020959746330673,-0.03665781983635308,-0.01838753016981809,-0.0006259912902187859,0.013594423985837434,0.057081360705363515,-0.03996462731047212,-0.016399339040476746,0.0019226431986372194,-0.03967783465882202,-0.007231373616869652,0.00011450913837696142,0.01223607484974698,0.011592354106823688,-0.0007022632754614122,-0.004639782273230475
2026-06-29,-0.007188654692930396,0.0343379204680041,0.03201683299701785,0.020355113191023344,0.04819344609319609,0.002254766824243859,0.022444299111199495,-0.011797171738171075,0.031497544278314527,0.012673362368860186,0.016989560805980464,0.03330553065689168,0.016474862380159383,0.0010301992107195623,0.08461722263269356,0.0017710782594362318,-0.003162271543724615,0.0010989765732625223
2026-06-30,0.027046212958856453,0.07677618428501676,-0.00749564027789118,0.014230064758388838,0.010518904349803737,-0.0004998245193931217,0.001226453024082641,0.012073639219654542,0.020327340988885778,0.026260425117358155,0.009848586938057569,0.037833530995638576,0.007786800986842035,-0.011778218208355562,0.02127042017171621,0.0031197526095925188,0.0014099050756246623,-0.0032018121547701117
2026-07-01,0.017348672275670385,-0.06890907388804501,0.014097510539473834,-0.02226341141524657,0.010745141025489735,-0.0001382855037862507,0.08808961112881497,0.030186099320729687,-0.0429658461794008,-0.012544327816355838,-0.0025520556773711567,-0.054018191898792645,-0.001352504438058455,-0.006759352683941788,0.011174468904540102,0.004457809550663772,0.0028159072205464764,-0.0025236902282972373
2026-07-02,0.04840675364798175,-0.0426342208076077,0.004013244654325954,-0.024069919908501825,-0.003599011406831276,0.00150769479306323,-0.04896306153496388,0.016160017478718647,-0.03526366080154353,-0.013918412665829716,-0.0020103369635964263,-0.04540186788465472,-0.001314069480687241,-0.00011688874178894526,-0.07488825887632455,0.010320982622555652,-0.005264991917702133,0.00823439711990881
2026-07-06,0.01305778143996239,0.06610401294772261,0.006140048231783268,0.03731441596325391,0.01819894951236445,0.002007426841051041,0.02983350983860711,-0.009603310738029669,0.016364934431990497,0.0036955356666652506,0.0002747462317223004,0.020277246300241414,0.008727409093039817,-0.0007017741378964049,0.06689535135353153,0.0,-0.0007057324508110696,0.0012319399311797596
2026-07-07,-0.006396770744445224,-0.06510280452154371,0.007454095831143315,-0.00834446420999746,0.0015554420597831964,-0.0013772324653551493,0.025471088344246162,0.005430044263193601,-0.0288147376826694,0.007056965494693257,-0.0034326512936239117,-0.03781230522507606,-0.004751899671231685,-0.010532384774988857,-0.04018866417017264,0.004699142786196653,0.0028248560935075773,0.0005924393062619604
2026-07-08,0.008787785980344909,0.0025188193018261806,-0.009594278605344897,0.04830358628047282,-0.013922491618141852,-0.0012537825856141493,-0.02024110859147288,-0.014144606893393474,0.007713492649076947,0.03651044893523969,-0.003765992943563612,0.019864111360369696,-0.0030894297130047432,-0.0022471836538101586,-0.021940919513048773,-0.007117406803278992,-0.001408415799858398,-0.0087899433902211
2026-07-09,0.00903022957872146,0.056647531125973094,0.01403824906613349,0.03195344061371519,-0.008371993499371455,0.0011297531399880878,0.04702212757189739,0.0026607787100694225,0.020168353121860383,-0.006564748040099211,0.007283799762086041,0.024839764702782485,0.00846525000257925,0.0015409040991603007,0.03169565627507742,-0.0005120640140958699,0.0,0.004227155722869691
2026-07-10,-0.002846043762522954,0.020431015042210676,-0.006881464517662805,-0.0028420736767752475,-0.004764751559533376,-0.0005016532810299124,0.05974859484207107,0.001925297686118821,0.0017745229918397776,0.04033932332484791,0.005446235429776847,0.005430123466312553,0.0043101596888019955,-0.00023662743292818256,0.002976317818197627,0.00163938180953771,0.0010577848607635776,0.00292825492678217
